province,male,female,age
Prov. Nusa Tenggara Timur,140965,155580,35-39
Prov. Nusa Tenggara Timur,128948,139560,40-44
Prov. Nusa Tenggara Timur,114082,120383,45-49
Prov. Nusa Tenggara Timur,95951,98859,50-54
Prov. Nusa Tenggara Timur,70930,71190,55-59
Prov. Nusa Tenggara Timur,55673,61130,60-64
Prov. Nusa Tenggara Timur,110145,120750,65+
Prov. Papua,164265,147540,0-4
Prov. Papua,184976,161014,5-9
Prov. Papua,181453,150424,10-14
Prov. Papua,147561,127411,15-19
Prov. Papua,128834,129029,20-24
Prov. Papua,134353,142048,25-29
Prov. Papua,137404,134914,30-34
Prov. Papua,125735,115954,35-39
Prov. Papua,107316,83251,40-44
Prov. Papua,78284,56611,45-49
Prov. Papua,48593,32922,50-54
Prov. Papua,27411,18719,55-59
Prov. Papua,16400,11138,60-64
Prov. Papua,15567,11460,65+
Prov. Papua Barat,48329,45380,0-4
Prov. Papua Barat,45621,42607,5-9
Prov. Papua Barat,40564,37070,10-14
Prov. Papua Barat,36398,33768,15-19
Prov. Papua Barat,40056,36198,20-24
Prov. Papua Barat,42360,37980,25-29
Prov. Papua Barat,37014,32069,30-34
Prov. Papua Barat,29731,25426,35-39
Prov. Papua Barat,25555,21450,40-44
Prov. Papua Barat,19216,16168,45-49
Prov. Papua Barat,14369,11871,50-54
Prov. Papua Barat,10116,7587,55-59
Prov. Papua Barat,6135,4855,60-64
Prov. Papua Barat,6934,5595,65+
Prov. Riau,332317,313582,0-4
Prov. Riau,322740,304432,5-9
Prov. Riau,289907,272672,10-14
Prov. Riau,253431,240904,15-19
Prov. Riau,257148,260614,20-24
Prov. Riau,282245,278844,25-29
Prov. Riau,261608,244195,30-34
Prov. Riau,229015,207970,35-39
Prov. Riau,187160,164742,40-44
Prov. Riau,143667,128037,45-49
Prov. Riau,108934,94584,50-54
Prov. Riau,73056,61210,55-59
Prov. Riau,43897,41217,60-64
Prov. Riau,68043,72196,65+
